,RMT_Max_Eigen
2018-10-30,14.880438511184062
2018-10-31,14.873216478151264
2018-11-01,15.386674760165697
2018-11-02,14.75598064463943
2018-11-05,14.783516578842063
2018-11-06,14.976064822202185
2018-11-07,15.111773656674677
2018-11-08,14.785687134706821
2018-11-09,14.768549963001506
2018-11-12,14.533611435555011
2018-11-13,14.444561446166878
2018-11-14,14.775214692065283
2018-11-15,14.704711137467616
2018-11-16,14.581531265723095
2018-11-19,14.467995340920023
2018-11-20,14.316873055342588
2018-11-21,14.268137975955636
2018-11-22,14.15686017043304
2018-11-26,14.0846266567648
2018-11-27,14.038906727927095
2018-11-28,13.968459361099855
2018-11-29,13.83644611425245
2018-11-30,13.805032259348138
2018-12-03,13.762152028003403
2018-12-04,13.793708107143384
2018-12-05,14.161280653345669
2018-12-06,14.10355516325625
2018-12-07,14.365368654538685
2018-12-10,14.308931002459055
2018-12-11,14.40850327733136
2018-12-12,14.417786048622183
2018-12-13,14.594042328682017
2018-12-14,14.41594058216462
2018-12-17,14.503653998049224
2018-12-18,14.38149452780796
2018-12-19,14.639557912577509
2018-12-20,14.674428128922319
2018-12-21,14.693497454567805
2018-12-25,14.87209960406154
2018-12-26,16.430614790309416
2018-12-27,16.415170429508997
2018-12-28,17.6252955292483
2019-01-04,17.59875447017984
2019-01-07,17.468952537264162
2019-01-08,18.182485433825757
2019-01-09,18.128596043747926
2019-01-10,18.14521195741778
2019-01-11,18.092442693452703
2019-01-15,17.411398673760598
2019-01-16,17.44835703848328
2019-01-17,17.38818119969976
2019-01-18,17.307613766637147
2019-01-21,17.174496625582726
2019-01-22,17.153412074024114
2019-01-23,17.195740844362714
2019-01-24,17.198162697606573
2019-01-25,16.944632575231072
2019-01-28,16.94767977824202
2019-01-29,16.445932965650194
2019-01-30,16.63856138349619
2019-01-31,16.676863519878562
2019-02-01,16.67273067624303
2019-02-04,16.033401146184232
2019-02-05,16.30225840861553
2019-02-06,16.082929842520123
2019-02-07,15.949137294773463
2019-02-08,15.657301394959617
2019-02-12,15.930036888789784
2019-02-13,15.993033258671066
2019-02-14,16.117681831122916
2019-02-15,16.16358480103095
2019-02-18,15.97016678899254
2019-02-19,16.156204530366104
2019-02-20,16.30414508620546
2019-02-21,16.42890250141457
2019-02-22,16.54213227411728
2019-02-25,16.61838643537902
2019-02-26,16.67419743453066
2019-02-27,16.67602535362009
2019-02-28,16.693068718379447
2019-03-01,16.824248659551294
2019-03-04,17.00568368115555
2019-03-05,17.115925101354627
2019-03-06,17.162982562889546
2019-03-07,17.1536125485944
2019-03-08,16.82578768643099
2019-03-11,17.077520754856163
2019-03-12,16.87991402225036
2019-03-13,17.06966894378112
2019-03-14,16.977097883819468
2019-03-15,17.098513794248767
2019-03-18,17.043607063820332
2019-03-19,17.074576539468165
2019-03-20,16.927400070275105
2019-03-22,16.866450407833963
2019-03-25,16.54100707743288
2019-03-26,16.970890957346825
2019-03-27,17.24139763384532
2019-03-28,17.032038537548164
2019-03-29,14.951817707521764
2019-04-01,14.812220908732746
2019-04-02,13.327810986581795
2019-04-03,13.185912656555342
2019-04-04,13.088125235964355
2019-04-05,12.089606389595096
2019-04-08,12.1707194342003
2019-04-09,12.133743470115395
2019-04-10,12.160122541574166
2019-04-11,12.359021321333907
2019-04-12,12.317433293057537
2019-04-15,12.193454863564614
2019-04-16,12.393591598270389
2019-04-17,12.349756962918065
2019-04-18,12.359273150672285
2019-04-19,12.134554826593739
2019-04-22,11.92879459850753
2019-04-23,11.999135169731801
2019-04-24,11.95577717137088
2019-04-25,11.934142800401785
2019-04-26,11.840484132882777
2019-05-07,11.784943109481553
2019-05-08,11.345348758476245
