Date,Close,target,code,NetSales,OperatingProfit,Profit,TotalAssets,Equity,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,ROE,SelfCapitalRatio
2024-02-05,649.3,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-02-06,643.2,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-02-07,635.0,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-02-08,619.0,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-02-09,617.5,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-02-13,641.7,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-02-14,631.3,1,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-02-15,731.2,1,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-02-16,778.7,1,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-02-19,792.5,1,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-02-20,749.7,1,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-02-21,767.3,1,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-02-22,763.2,1,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-02-26,788.0,0,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-02-27,771.7,1,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-02-28,788.6,1,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-02-29,820.0,0,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-03-01,821.1,0,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-03-04,830.1,0,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-03-05,822.2,1,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-03-06,819.2,1,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-03-07,838.6,0,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-03-08,825.4,1,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-03-11,826.9,1,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-03-12,818.3,1,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-03-13,806.7,1,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-03-14,800.7,1,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-03-15,770.0,1,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-03-18,827.2,0,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-03-19,850.2,0,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-03-21,873.1,0,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-03-22,866.4,0,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-03-25,882.8,0,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-03-26,879.1,0,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-03-27,865.8,0,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-03-28,856.0,0,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-03-29,849.8,0,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-04-01,875.6,0,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-04-02,841.8,0,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-04-03,858.1,1,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-04-04,858.2,1,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-04-05,862.7,0,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-04-08,886.3,0,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-04-09,905.2,0,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-04-10,892.1,0,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
2024-04-11,879.0,1,4755,2071315000000.0,-212857000000.0,-339473000000.0,22625576000000.0,1087723000000.0,2142140300.0,-0.31209508303124966,0.048074930777452916
